Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With BP,With PC,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Nodes Generated Initially,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC,Makespan,Throughput,Number of Collisions,Planner Time
PSIS Experiment Map,96372106,0,16,10737303,True,True,True,1.0,0.1134026050567627,0.01776885986328125,1,10,649,649,0,649,649,649,0,max,649,Min Best Case,No Change,0,649,649,85,0.18823529411764706,0,0.12032032012939453
PSIS Experiment Map,96372106,0,16,10737304,True,True,True,1.0,4.110661268234253,0.018566370010375977,1,60,683,683,0,683,683,683,0,max,683,Min Best Case,No Change,0,675,675,67,0.23880597014925373,0,4.115437746047974
PSIS Experiment Map,96372106,0,16,10737305,True,True,True,1.0,0.061501502990722656,0.010912656784057617,1,7,611,611,0,611,611,611,0,max,611,Min Best Case,No Change,0,610,610,70,0.22857142857142856,0,0.06566834449768066
PSIS Experiment Map,96372106,0,16,10737306,True,True,True,1.0,0.5854945182800293,0.010825634002685547,1,46,574,574,0,574,574,574,0,max,574,Min Best Case,No Change,0,570,570,63,0.25396825396825395,0,0.5893254280090332
PSIS Experiment Map,96372106,0,16,10737307,True,True,True,1.0,0.006990671157836914,0.006502389907836914,1,2,488,488,0,488,488,488,0,max,488,Min Best Case,No Change,0,488,488,69,0.2318840579710145,0,0.009107828140258789
PSIS Experiment Map,96372106,0,16,10737308,True,True,True,1.0,0.8390562534332275,0.009767532348632812,1,5,491,491,0,491,491,491,0,max,491,Min Best Case,No Change,0,491,491,64,0.25,0,0.8417232036590576
PSIS Experiment Map,96372106,0,16,10737309,True,True,True,1.0,0.2749292850494385,0.00862431526184082,1,13,464,464,0,464,464,464,0,max,464,Min Best Case,No Change,0,464,464,51,0.3137254901960784,0,0.27785515785217285
PSIS Experiment Map,96372106,0,16,10737310,True,True,True,1.0,17.343015670776367,0.009484052658081055,1,21,655,655,0,655,655,655,0,max,655,Min Best Case,No Change,0,651,651,68,0.23529411764705882,0,17.346274852752686
PSIS Experiment Map,96372106,0,16,10737311,True,True,True,1.0,0.7612202167510986,0.007960081100463867,1,10,514,514,0,514,514,514,0,max,514,Min Best Case,No Change,0,510,510,63,0.25396825396825395,0,0.7637760639190674
PSIS Experiment Map,96372106,0,16,10737312,True,True,True,1.0,2.5007948875427246,0.010788440704345703,1,9,520,520,0,520,520,520,0,max,520,Min Best Case,No Change,0,520,520,83,0.1927710843373494,0,2.505565643310547
PSIS Experiment Map,96372106,0,16,10737313,True,True,True,1.0,0.02636408805847168,0.007698774337768555,1,9,565,565,0,565,565,565,0,max,565,Min Best Case,No Change,0,564,564,63,0.25396825396825395,0,0.02877950668334961
PSIS Experiment Map,96372106,0,16,10737314,True,True,True,1.0,0.10556626319885254,0.006005764007568359,1,19,381,381,0,381,381,381,0,max,381,Min Best Case,No Change,0,376,376,44,0.36363636363636365,0,0.10758161544799805
PSIS Experiment Map,96372106,0,16,10737315,True,True,True,1.0,0.16074562072753906,0.00901937484741211,1,22,625,625,0,625,625,625,0,max,625,Min Best Case,No Change,0,622,622,62,0.25806451612903225,0,0.16374659538269043
PSIS Experiment Map,96372106,0,64,10737296,True,True,True,1.0,-1,-1,0,243,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737297,True,True,True,1.0,-1,-1,0,899,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737298,True,True,True,1.0,-1,-1,0,155,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737299,True,True,True,1.0,-1,-1,0,477,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737300,True,True,True,1.0,-1,-1,0,1669,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737301,True,True,True,1.0,-1,-1,0,1643,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737302,True,True,True,1.0,-1,-1,0,425,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737303,True,True,True,1.0,-1,-1,0,383,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737304,True,True,True,1.0,-1,-1,0,1471,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737305,True,True,True,1.0,-1,-1,0,145,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737306,True,True,True,1.0,-1,-1,0,937,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737307,True,True,True,1.0,-1,-1,0,226,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737308,True,True,True,1.0,-1,-1,0,533,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737309,True,True,True,1.0,-1,-1,0,543,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737310,True,True,True,1.0,-1,-1,0,905,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737311,True,True,True,1.0,-1,-1,0,188,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737312,True,True,True,1.0,-1,-1,0,523,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737313,True,True,True,1.0,-1,-1,0,437,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737314,True,True,True,1.0,-1,-1,0,1289,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,64,10737315,True,True,True,1.0,-1,-1,0,2193,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
